CodMunicipio,Nascimentos
355030,1021790
330455,512344
530010,264967
130260,242104
230440,208000
292740,207071
310620,183724
410690,139846
261160,134850
351880,129318
520870,127685
150140,120022
431490,111258
211130,95379
350950,93154
270430,87768
500270,86137
221100,82561
330170,81555
250750,72981
330350,72835
330490,69616
240810,69269
354870,65371
510340,62817
353440,61668
354990,58010
317020,57842
260790,57273
280030,55765
355220,55658
291080,54883
354780,54763
311860,51906
160030,51412
354340,50850
420910,49025
320500,48422
520140,47531
110020,45158
140010,45101
330100,44307
150080,43690
330045,43182
411370,43052
351060,42230
320520,39670
313670,39317
330510,39042
261110,38755
250400,38409
120040,38271
353060,38147
150680,37679
520110,37476
330330,37352
314330,37305
310670,37048
420540,36970
430510,36834
352310,36698
320130,36540
351380,36149
352590,35926
260410,34790
352940,34579
350570,34113
260960,34042
354980,33967
293330,32736
411990,32326
353870,31440
172100,31299
430460,31114
210530,31058
411520,30169
410480,29717
351620,29551
150420,29334
230370,29315
315460,29264
150553,29177
412550,29087
510840,29071
350600,28879
355100,28102
320530,27855
354850,27341
355250,27219
420240,27072
230765,26653
351870,26189
355280,26168
410830,26158
291840,26013
354100,25989
351500,25377
230730,25370
290570,24841
351300,24818
352250,24743
317010,24110
261070,23735
431440,23633
355410,23447
500370,23263
510760,23177
355240,23035
330390,22841
312770,22623
240325,22595
240800,22359
410580,21593
352690,21230
330240,20951
330250,20950
420820,20775
430920,20651
431690,20649
420420,20273
521880,20224
270030,19936
211120,19608
231290,19417
421660,18986
430060,18931
431340,18737
330190,18673
432300,18661
170210,18520
352050,18432
354890,18376
150240,18352
352440,18246
313130,18200
315780,18157
260290,18075
280480,18022
351907,17883
330630,17875
352900,17633
410940,17379
521250,17379
291480,17303
431870,17256
351630,17082
351570,16974
354140,16913
431410,16794
510790,16700
211220,16699
420460,16661
350320,16340
431560,16238
330070,16204
352220,16139
320120,16126
291920,16056
520025,16026
316720,15832
312230,15733
290320,15560
350160,15558
330010,15471
150180,15442
421190,15428
292530,15398
312980,15331
320320,15093
150010,14983
293135,14973
150060,14830
522185,14628
354390,14481
330285,14273
150210,14261
220770,14111
420930,14058
350280,14040
210300,13940
420890,13911
354580,13753
411820,13719
352390,13693
291360,13669
410180,13630
291800,13507
330414,13462
260600,13398
260345,13376
251370,13333
353800,13330
330580,13200
522045,13197
351640,13107
290070,13062
354730,12959
350760,12875
330040,12740
330340,12708
352230,12597
230420,12576
160060,12469
150360,12396
210140,12074
412770,12016
130340,11990
130190,11943
350410,11918
261640,11852
210330,11848
130250,11797
500830,11730
150810,11681
210005,11495
150550,11465
411915,11446
353070,11288
330320,11242
110012,11223
317120,11219
410765,11215
150130,11187
430310,11186
500320,11148
522140,11036
432000,10998
316860,10991
315180,10986
314800,10900
150170,10870
320490,10857
315250,10818
293070,10778
330200,10658
432240,10585
410040,10570
420290,10515
350750,10480
291955,10479
520800,10447
320240,10410
315670,10353
510792,10312
410140,10306
352500,10277
291072,10259
292400,10219
354880,10219
330420,10213
150442,10155
351050,10133
317070,10127
311830,10085
130120,10032
351350,10022
130406,10018
120020,9985
355400,9976
355700,9940
210750,9911
130420,9910
330270,9897
110002,9813
150613,9738
352530,9727
260720,9724
431680,9687
410420,9679
261370,9654
354520,9653
210120,9598
355170,9507
430160,9397
320150,9384
260680,9362
420200,9358
353980,9332
410150,9292
210990,9278
510795,9245
355650,9241
500660,9228
330020,9195
521760,9189
260110,9181
411950,9171
510250,9135
430210,9134
350330,9098
412625,9058
313170,9028
314520,9022
210160,9015
412810,8994
330452,8944
350550,8925
150795,8864
251080,8841
210860,8791
521523,8750
260005,8741
110030,8684
351840,8639
280350,8637
521190,8628
350650,8589
353650,8574
310400,8548
320060,8531
520510,8511
330520,8503
330227,8475
352240,8462
293290,8433
230770,8421
261390,8405
241200,8399
130290,8356
352340,8348
352210,8319
521150,8317
314480,8302
421130,8294
280290,8284
310350,8284
350900,8256
350390,8245
292870,8210
313820,8193
150530,8167
310560,8089
354330,8050
261250,8035
351110,8034
231340,8027
355620,8026
314700,8010
110004,7998
280670,7986
510525,7895
430700,7884
421870,7880
230550,7872
420320,7848
170950,7801
410430,7776
311940,7768
520450,7709
350450,7697
430930,7692
210320,7670
410370,7669
250180,7663
353470,7588
510704,7583
355070,7580
411850,7545
410840,7526
313940,7514
210232,7492
350920,7490
316990,7484
350850,7478
314790,7461
350400,7452
411840,7403
291460,7389
314810,7370
150506,7348
231130,7254
291170,7253
210170,7241
313240,7176
313420,7152
150215,7148
210540,7094
431140,7045
420300,7037
210480,7025
352670,7020
355540,7013
330220,6998
410490,6961
230523,6923
260620,6901
431990,6898
352720,6867
270630,6835
317040,6834
330600,6812
230190,6801
150470,6781
311340,6752
412710,6716
521310,6714
431020,6712
314710,6703
431710,6694
260170,6680
320510,6651
260640,6622
421580,6604
260990,6579
330555,6548
261000,6546
240260,6537
210360,6527
353080,6521
430770,6517
220800,6478
290390,6465
230640,6446
355060,6442
330030,6374
270770,6067
150040,5627
350960,5542
231140,5509
352850,5425
355710,5395
150390,5238
150800,5234
520549,5232
260120,5176
351970,5175
290720,5155
291560,5114
313380,4225
521975,4201
316930,4111
431750,4100
130060,4071
150830,3191
261220,3149
316870,3131
130380,3081
150330,3078
313520,3037
260520,2615
352930,2114
150510,2090
351340,2085
313510,2064
312090,2035
150020,1017
353760,1015
310160,1003
211280,1001